nov 12/21:41:40.632 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.634 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.636 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.638 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.640 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.642 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.644 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.646 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.648 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.650 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.652 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.654 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.656 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.658 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.660 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.662 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.664 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.666 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.668 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.670 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.672 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.674 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.676 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.678 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.680 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.682 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.684 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.686 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.688 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.690 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.692 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.694 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.696 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.698 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.700 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.702 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.704 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.706 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.708 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.710 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.712 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.714 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.716 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.718 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.720 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.722 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.724 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.726 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.728 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.729 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.731 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.734 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.736 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.737 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.739 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.742 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.744 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.746 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.747 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.750 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.752 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.754 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.755 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.758 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.760 DEBUG2 : 		STLinkIsCpuHalted
nov 12/21:41:40.761 DEBUG2 : 		STLinkIsCpuHalted
